algo	pivot	neighborhood	init	instance	size	final_cost	rpd	time_sec
II	first	transpose	random	N-be75eec_150	150	2110005	39.416905	1.5e-05
II	first	transpose	random	N-be75eec_250	250	5668583	36.261742	2.9e-05
II	first	transpose	random	N-be75np_150	150	4809500	32.962334	1.3e-05
II	first	transpose	random	N-be75np_250	250	11908894	33.148951	3.1e-05
II	first	transpose	random	N-be75oi_150	150	1494458	33.477170	1.1e-05
II	first	transpose	random	N-be75oi_250	250	2961478	49.891203	2.2e-05
II	first	transpose	random	N-be75tot_150	150	7763504	36.818936	1.5e-05
II	first	transpose	random	N-be75tot_250	250	20410636	34.071211	3.5e-05
II	first	transpose	random	N-stabu1_150	150	1827538	36.449641	1.3e-05
II	first	transpose	random	N-stabu1_250	250	4880794	36.960551	3e-05
II	first	transpose	random	N-stabu2_150	150	2726108	37.005568	1.4e-05
II	first	transpose	random	N-stabu2_250	250	8062091	29.897592	3.1e-05
II	first	transpose	random	N-stabu3_150	150	2651712	41.209526	1.3e-05
II	first	transpose	random	N-stabu3_250	250	7552108	36.538587	3.4e-05
II	first	transpose	random	N-t59b11xx_150	150	2190795	32.373478	1e-05
II	first	transpose	random	N-t59b11xx_250	250	5591620	33.527344	2.4e-05
II	first	transpose	random	N-t59d11xx_150	150	944878	35.401659	1.1e-05
II	first	transpose	random	N-t59d11xx_250	250	2676664	30.316386	2.1e-05
II	first	transpose	random	N-t59f11xx_150	150	1017299	34.101363	1.4e-05
II	first	transpose	random	N-t59f11xx_250	250	2807380	29.692567	2.7e-05
II	first	transpose	random	N-t59n11xx_150	150	201789	36.735327	1.3e-05
II	first	transpose	random	N-t59n11xx_250	250	551214	33.235385	2.2e-05
II	first	transpose	random	N-t65b11xx_150	150	4321260	33.043542	1.2e-05
II	first	transpose	random	N-t65b11xx_250	250	10983195	36.417752	2.7e-05
II	first	transpose	random	N-t65d11xx_150	150	2385962	32.966300	1.3e-05
II	first	transpose	random	N-t65d11xx_250	250	6291686	32.721444	2.9e-05
II	first	transpose	random	N-t65f11xx_150	150	2143139	32.164677	1.4e-05
II	first	transpose	random	N-t65f11xx_250	250	5792510	31.119997	3.5e-05
II	first	transpose	random	N-t65l11xx_150	150	128191	49.410804	9e-06
II	first	transpose	random	N-t65l11xx_250	250	395635	40.617993	1.6e-05
II	first	transpose	random	N-t65n11xx_150	150	342935	37.731169	1.2e-05
II	first	transpose	random	N-t65n11xx_250	250	952838	33.338231	2.4e-05
II	first	transpose	random	N-t69r11xx_150	150	7600701	35.891291	1.4e-05
II	first	transpose	random	N-t69r11xx_250	250	21060290	33.805826	2.8e-05
II	first	transpose	random	N-t70b11xx_150	150	6051685	37.270225	1.1e-05
